customer_id,signup_date,tenure_days,plan_type,monthly_charges,total_charges,num_support_tickets,avg_response_time_hrs,login_frequency,feature_usage_score,contract_type,payment_method,region,age,gender,num_products,has_partner,has_dependents,online_security,tech_support,churned_30d
CUST-03313,2024-03-08,726,Premium,94.57,2480.99,1,8.8,13.5,58.0,Month-to-month,Electronic check,Europe,24.0,Female,3,1,1,,No internet,0
CUST-09079,2025-09-22,69,Basic,35.92,35.08,2,5.7,10.3,7.0,One year,Bank transfer,North America,43.0,Female,2,1,1,No internet,No,1
CUST-05618,2023-10-04,810,Standard,43.41,1338.87,6,15.9,3.3,9.9,Month-to-month,Bank transfer,North America,32.0,Male,1,1,1,No,No,1
CUST-01148,2021-04-22,1671,Basic,12.2,640.76,1,3.3,7.5,44.8,Month-to-month,Credit card,Asia Pacific,44.0,Prefer not to say,3,0,0,Yes,No,0
CUST-08768,2021-10-05,1554,Basic,16.33,910.48,5,15.7,9.3,47.6,Month-to-month,Credit card,North America,60.0,Male,1,0,0,No internet,No,1
CUST-01924,2025-11-08,61,Enterprise,196.76,429.66,2,4.6,13.8,29.8,Two year,Mailed check,North America,55.0,Male,1,0,0,Yes,No internet,0
CUST-02179,2024-08-14,565,Standard,68.53,1164.53,6,2.9,3.4,28.4,Month-to-month,Electronic check,North America,43.0,Non-binary,2,0,1,Yes,No internet,1
CUST-09022,2025-01-23,391,Basic,29.27,452.62,2,24.2,5.7,11.8,Month-to-month,Credit card,Europe,53.0,Female,1,0,1,Yes,No,1
CUST-06136,2021-10-11,1508,Standard,59.95,3202.18,3,19.1,7.4,13.1,Month-to-month,Electronic check,North America,31.0,Female,2,1,0,No internet,No internet,0
CUST-06324,2023-07-16,939,Basic,27.72,891.96,2,,6.1,33.4,Month-to-month,Credit card,Europe,,Male,2,0,0,No,Yes,0
CUST-03330,2022-01-14,1473,Premium,89.5,4451.95,6,38.6,7.5,10.6,One year,Mailed check,North America,65.0,Male,2,0,1,No,No,1
CUST-09983,2025-09-07,131,Basic,25.82,72.6,6,6.0,8.1,33.1,One year,Credit card,Europe,45.0,Male,3,0,1,Yes,No,1
CUST-05236,2025-07-02,245,Basic,17.76,210.27,2,5.4,,26.4,One year,Bank transfer,Latin America,20.0,Male,1,1,0,No,No,0
CUST-03536,2023-07-04,959,Enterprise,180.86,5656.34,1,0.8,8.5,22.8,Month-to-month,Credit card,Asia Pacific,,Non-binary,4,0,0,No,Yes,0
CUST-07866,2023-07-22,863,Basic,25.0,809.24,1,8.9,21.6,23.9,Two year,Credit card,North America,,Male,3,0,0,Yes,No,0
CUST-02363,2024-01-11,675,Standard,61.8,1321.95,2,,6.6,,Month-to-month,Bank transfer,North America,51.0,Female,1,0,0,No,No,1
CUST-08470,2024-11-24,386,Standard,62.02,847.57,1,1.6,6.4,39.6,Month-to-month,Mailed check,Europe,42.0,Male,1,0,0,Yes,No,0
CUST-02485,2021-10-12,1525,Enterprise,202.43,10278.76,1,0.5,5.0,31.9,Two year,Electronic check,North America,23.0,Male,1,0,1,No,No,0
CUST-06096,2024-03-21,673,Basic,9.99,202.0,1,0.9,7.0,12.9,One year,Electronic check,Europe,39.0,Non-binary,2,0,1,No internet,Yes,0
CUST-04958,2025-03-12,326,Standard,57.63,783.28,2,5.2,17.4,60.0,Month-to-month,Credit card,Latin America,30.0,Female,3,0,0,Yes,No,1
CUST-04804,2025-11-24,16,Basic,33.41,0.0,5,20.4,39.9,38.4,Month-to-month,Credit card,Europe,32.0,Female,4,0,0,No,No internet,1
CUST-04529,2024-03-05,665,Basic,17.06,288.71,1,8.6,18.4,15.8,One year,Credit card,Asia Pacific,39.0,Female,2,0,1,No internet,No internet,0
CUST-04158,2023-11-12,766,Basic,32.02,834.72,2,2.0,5.0,39.3,Month-to-month,Credit card,Asia Pacific,50.0,Male,3,1,1,No,,0
CUST-04541,2025-09-10,81,Premium,115.63,244.95,3,13.3,3.5,,One year,Credit card,Europe,53.0,Female,2,1,1,Yes,No,0
CUST-00484,2024-09-29,465,Basic,38.02,564.03,4,0.5,7.0,2.8,Month-to-month,Credit card,North America,43.0,Male,1,1,1,No,,1
CUST-05357,2023-09-09,796,Premium,104.5,2701.69,8,3.2,4.0,22.1,One year,Bank transfer,Europe,56.0,Male,1,1,0,No,Yes,1
CUST-03119,2021-11-07,1547,Basic,27.43,1419.04,4,7.3,2.5,16.8,Month-to-month,Bank transfer,Asia Pacific,18.0,Female,4,1,0,Yes,No internet,1
CUST-09916,2021-03-15,1761,Premium,90.47,5122.58,1,3.4,,2.5,One year,Bank transfer,Asia Pacific,35.0,Prefer not to say,2,1,1,Yes,No,0
CUST-07431,2022-04-16,1357,Enterprise,189.35,8558.06,1,2.5,3.3,13.4,One year,Credit card,Asia Pacific,46.0,Male,2,0,1,Yes,No,1
CUST-05815,2023-05-08,895,Premium,102.91,3075.04,4,2.2,0.9,18.5,Month-to-month,Bank transfer,Europe,37.0,Female,4,1,0,No internet,No,1
CUST-06686,2024-07-07,547,Standard,60.67,979.61,2,3.7,4.9,8.3,Month-to-month,Bank transfer,Europe,35.0,Prefer not to say,3,1,0,No,No,0
CUST-05818,2025-02-17,323,Standard,58.04,720.32,2,4.8,7.0,6.6,Month-to-month,Electronic check,Europe,42.0,Female,5,0,0,Yes,No,1
CUST-03942,2022-08-28,1258,Standard,63.34,2606.45,3,3.0,5.4,38.9,Two year,Bank transfer,Latin America,31.0,Female,1,0,0,No internet,No,0
CUST-08460,2022-02-22,1456,Premium,84.66,3913.87,0,14.2,21.2,43.6,One year,Bank transfer,Europe,26.0,Female,3,1,1,Yes,Yes,0
CUST-07656,2023-07-05,900,Premium,95.4,2797.61,2,5.1,21.0,15.7,Month-to-month,Credit card,Middle East,47.0,Female,4,1,0,No,No internet,0
CUST-04011,2021-12-09,1484,Basic,25.04,1254.7,4,3.7,5.2,39.8,Month-to-month,Mailed check,Middle East,66.0,Female,1,0,1,Yes,Yes,0
CUST-09156,2025-11-21,27,Basic,33.87,241.92,8,5.6,7.8,33.6,Month-to-month,Credit card,Asia Pacific,28.0,Female,2,0,0,Yes,No,1
CUST-00648,2023-02-28,1036,Basic,26.67,799.02,2,,7.2,11.0,Month-to-month,Credit card,North America,26.0,Male,2,1,1,No internet,No internet,1
CUST-00972,2023-02-08,1037,Premium,115.63,4158.85,5,4.0,3.1,28.8,One year,Mailed check,N. America,52.0,Non-binary,1,0,0,Yes,No,0
CUST-09613,2021-12-24,1454,Standard,65.92,3165.06,0,4.6,7.4,33.0,One year,Electronic check,Asia Pacific,20.0,Female,4,1,1,Yes,No,0
CUST-07592,2021-12-28,1483,Standard,69.87,3331.54,2,11.8,2.5,,Two year,Credit card,Asia Pacific,56.0,Male,2,1,0,No,No,0
CUST-04950,2021-03-31,1750,Standard,46.44,2681.6,6,29.2,,37.2,One year,Electronic check,North America,45.0,Male,1,1,0,Yes,No,0
CUST-03185,2024-10-17,417,Basic,54.11,620.18,1,30.2,17.6,17.7,Two year,Electronic check,Latin America,38.0,Female,1,1,0,No,No internet,0
CUST-07227,2022-02-25,1404,Basic,35.39,1525.43,2,4.8,4.6,32.2,One year,Credit card,Latin America,18.0,Female,2,0,1,No,No internet,0
